Title,Description,Document Number,Domains,Types,Version,Date,Status
"Shopping Cart Management API","<p>A standardized mechanism for the management of shopping carts. Including creation, update, retrieval, deletion and notification of an event. Shopping Cart entity is used for the temporary selection and reservation of product offerings in e-commerce and retail purchase.</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>


<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF663","Customer","RESTful","v5.0","2023-09-19","Production"
"Product Offering Qualification Management API","<p>Product Offering Qualification API is one of Pre-Ordering Management API Family. Product Offering Qualification API goal is to provide Product Offering commercial eligibility.</p>
<br><b>Version history</b>
<p>v5.0.0</p>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
05 Nov 2024 v5.0.0 stable release. CTK updates made: logic to handle optional GET responses for a POST that responds with a 200 code. <br>
16 Aug 2024 v5.0.0 stable release.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF679","Product","RESTful","v5.0","2024-11-05","Production"
"CDR Transaction Management API","<p>CDR Transaction Management API goal is to provide the ability to manage a CDR Transaction. This CDR Transaction managing CDR Transactions that define how revenue share is calculated, billed and paid between an enterprise with one or more other parties. </p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF735","Common","RESTful","v5.0","2023-09-19","Production"
"Service Problem Management API","<p>The SPM API is used to manage service problems. Service problems are generated based on the information declared by a partner or the event information notified from infrastructure providers. The event information includes alarm information, performance anomaly information, trouble ticket information, SLA violation, maintenance information, and prediction information.</p>
<br><b>Version history</b>
<br>v5.1.0 
<p> 17-Oct-2025 Open API Specification (OAS), User Guide, Conformance Profile
What’s New: Resolved schema and example issues, clarified optional fields, and aligned across all assets. </P>
<br>v5.0.0
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
<br>v4.0.0</br>
07-Nov-2024  TMF656 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF656","Service","RESTful","v5.0","2024-04-29","Production"
"Revenue Sharing Algorithm Management API","<p>Revenue Sharing Algorithm Management API goal is to provide the Algorithm to calculate a revenue share.</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>


<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF736","Business Partner","RESTful","v5.0","2023-09-19","Production"
"Party Role Management API","<p>A standardized mechanism for general party roles and includes operations such as creation, update, retrieval, deletion and notification of events. Notice that for the management of customers there is a specific Customer Management API.<br/>Party Role management API manages the following data resources: PartyRole</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
<br>v4.0.0</br>
07-Nov-2024  TMF669 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF669","Business Partner","RESTful","v5.0","2023-09-19","Production"
"Customer Bill Management API","<p>This API allows operations to find and retrieve one or several customer bills (also called invoices) produced for a customer also allows operations to find and retrieve the details of applied customer billing rates presented on a customer bill.</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF678","Customer","RESTful","v5.0","2026-01-21","Production"
"Open Gateway Onboarding and Ordering Component Suite","<p>API Ordering, Developer & Application Onboarding and Management This Operate API component suite covers the onboarding operations between Channel Partners and Operators as described in the GSMA Playbook. It offers a consolidation of multiple TMForum-based APIs into a single endpoint (a component suite). This API focusses on:  Developer Management (acceptance, on boarding, lifecycle management) and  Application Management (acceptance, on boarding, lifecycle management)<br/>
</p>
<br><b>Version history</b>
<p> v5.2.1</p>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
<p>19-Dec-2025  v5.2.1 stable release: OAS, User Guide, Conformance profile, CTK, VS, and Postman.Conformance Profile now includes an additional comment for the optional attribute approvedProductOfferingTermOrCondition.applicationLegalBasisForInputData, offering guidance on GDPR-related data processing.</p>
<br>
<p> v5.2.0</p>
<p>13-June-2025  v5.2.0 stable release: OAS, User Guide, Conformance profile, CTK, VS, and Postman updated with support for product bundles, new query parameters, and improved TMF936-aligned examples. Requires docker desktop for CTK+ VS(RI)</p>
<br>
<p> v5.1.2</p>
<p> 22-Jan-2026 A compliance note for specific geographies was added; no changes were made beyond the conformance profile. Patch fix to Conformance profile<p>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
<p>03-June-2025  v5.1.2 stable release: CTK: Bugfix on the HTML report to access from run directory of CTK.</p>
<p> v5.1.2</p>
<p>28-Feb-2025  v5.1.2 stable release: CTK, RI and Postman collection.</p>
<p> v5.1.2</p>
<p>06-Feb-2025  v5.1.2 stable release: fixes some inconsistencies, mainly on examples.</p>
<p> v5.1.1</p>
<p>02-Dec-2024  v5.1.1 preview release:  Conformance profile: minor bug fixes released.</p>
<p>22-Nov-2024  v5.1.1 preview release:  Conformance profile and User Guide: minor bug fixes released.</p>
<p>01-Nov-2024  v5.1.1 preview release:  OAS v5.1.1 The 5.1 brings new requirements from GSMA to allow more use cases regarding legislations constraints including last stable version of W3C DPV values to fulfill GDPR requirements. There are also some improvements on modelling and descriptions. All changes are detailed in ""Acknowledgements"" chapter of the User Guide.</p>
<p>01-Aug-2024 v5.1.0 preview release: The 5.1 brings new requirements from GSMA to allow more use cases regarding legislations constraints. There are also some improvements on modelling and descriptions. All changes are detailled in ""Acknowledgements"" chapter of the User Guide.</p>
<br>v5.0.0 
<p>16 Sept 2024 v5.0.0 stable release: fix for Postman Collection has bad indentation.
<p> 21 Feb 2024 v5.0.0 stable release.</p>
<br>
<p><b>This API is an Open Gateway Operate API, produced within the 
  <a href=""https://www.gsma.com/solutions-and-impact/gsma-open-gateway/joint-certification-program-gsma-tm-forum/"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    GSMA Open Gateway</a> initiative.</b></p>

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF931","Common","RESTful","v5.2","2025-01-21","Production"
"Trouble Ticket Management API","<p>Provides a standardized client interface to Trouble Ticket Management Systems for creating, tracking and managing trouble tickets among partners as a result of an issue or problem identified by a customer or another system. Examples of Trouble Ticket API clients include CRM applications, network management or fault management systems, or other trouble ticket management systems (e.g. B2B).</p>
<br><b>Version history</b>
<p> v5.0.0</p>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 
<p> 18 July 2025 patch release v5.0.1: User Guide: reflects corrections in examples and alignment with the updated OAS template.</p>
<p> 27-Aug-2024 v5.0.0 Conformance profile documentation fix: in Definitions for Filter section: All our APIs have mandatory GET operations.</p>
<br> v4.0.0 
<p>07-Nov-2024 TMF621 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF621","Common","RESTful, Asynchronous","v5.0","2025-05-06","Production"
"Customer Management API","<p>Provides a standardized mechanism for customer and customer account management, such as creation, update, retrieval, deletion and notification of events. 
</p>
<br><b>Version history</b>
<p>v5.0.0 </p>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 
<p>25 Jul 2024 Open API Specification (OAS) v5.0.1 release fixes bug  v5.0.0 OAS file TMF629 Customer Management is missing Characteristic subclasses.</p>

<br> v4.0.0 </br>
<p>07-Nov-2024 TMF629 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

 <style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF629","Customer","RESTful","v5.0","2024-07-25","Production"
"Account Management API","<p>Provides standardized mechanism for the management of billing and settlement accounts, as well as for financial accounting (account receivable) either in B2B or B2B2C contexts</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 
<p>23 Jan 2025 CTK update:  ChangeME.json file for POST method of operation  BillingAccount operation, in partyOrPartyRole changed value of @type field from ""PartyRefOrPartyRoleRef"" to ""PartyRef"" </p>
<p>19 Sep 2023</p> Stable release: OAS, User Guide, Conformance profile, CTK, RI and postman released.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF666","Business Partner","RESTful","v5.0","2025-01-23","Production"
"Open Gateway Product Catalog API","<p>The TMF936 Operate Product Catalog API v5.0.0 is part of the TM Forum Open API standards and is designed to support the management and synchronization of product catalogs within telecommunications and digital service ecosystems. This API provides standardized operations for defining, updating, and managing product offerings, specifications, and pricing across multiple partners and platforms.<br/>
</p>
<br><b>Version history</b>
<p> v5.0.0</p>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
<p>27-August-2025  v5.0.0 stable release: OAS, User Guide, Conformance profile, CTK, VS, and Postman.</p>
<br>
<p><b>This API is an Open Gateway Operate API, produced within the 
  <a href=""https://www.gsma.com/solutions-and-impact/gsma-open-gateway/joint-certification-program-gsma-tm-forum/"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    GSMA Open Gateway</a> initiative.</b></p>

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF936","Product","RESTful","v5.0","2025-08-27","Production"
"Party Interaction Management API","<p>A User Interaction captures information about past interactions in order to re-use it in future ones. This allows agents to serve users better by knowing the steps they went through. It also allows customers to see better the actions they have performed and how they interacted with us.</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF683","Business Partner","RESTful","v5.0","2023-09-19","Production"
"Product Catalog Management API","<p>Provides a standardized solution for rapidly adding partners’ products to an existing Catalog. It brings the capability for Service Providers to directly feed partners systems with the technical description of the products they propose to them. </p>
<br><b>Version history</b>
<p>v5.0.0
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
<p> 23 Jan 2025 TMF620 v5.0.0 Sample implementation / RI file update: TMF620 v5.0.0 PATCH error fixed
<p>18 Nov 2024 TMF620 v5.0.0 CTK update: Removed duplicate files. Updated CTK tests for TMF620 v5.0.0 these are now correct.</p>23
<p>16 Aug 2024 TMF620 v5.0.0 CTK update: fixed the executable and implemented the resources as defined in the conformance profile </p>
<p>02 Jul 2021</p> Stable release: OAS, User Guide, Conformance profile, CTK, RI released.
<br>v4.1.0</p>
07 Nov 2024  TMF620 v4.1.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF620","Product","RESTful, Asynchronous","v5.0","2025-01-23","Production"
"Product Ordering Management API","<p title="""">Provides a standardized mechanism for placing a product order with all the necessary order parameters. The API consists of a simple set of operations that interact with CRM/Order negotiation systems in a consistent manner. A product order is created based on a product offering that is defined in a catalog. The product offering identifies the product or set of products that are available to a customer and includes characteristics such as pricing, product options and market.</p>
<br><b>Version history</b>
<br> v5.0.0
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 
<br> v4.0.0 
<p>07-Nov-2024 TMF622 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF622","Customer","RESTful, Asynchronous","v5.0","2023-09-19","Production"
"Service Inventory Management API","<p>The intent of this API is to provide a consistent/standardized mechanism to query and manipulate the Service inventory.</p>
<br><b>Version history</b>
<br><p>v5.1.0</p>
<p>30-Sept-2025 v5.1.0 Preview release: Fixed enum mismatch in examples, added operatingStatusContextUpdate, aligned for RI validation. Open API Specification (OAS), User Guide, Conformance Profile </p>
<br><p>v5.0.0</p>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 
<p>30-Aug-2024 v5.0.0 CTK fixes released</p>
<br>v4.0.0</br>
<p>07-Nov-2024 TMF638 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF638","Service","RESTful, Asynchronous","v5.0","2023-09-19","Production"
"Alarm Management API","<p>The Alarm Management API applies lessons that were learned in previous generations of similar APIs that were implemented in the Telecommunication industry, starting from ITU recommendations, TM Forum OSS/J, MTOSI and TIP interfaces, NGMN alignment initiative between 3GPP and TM Forum interfaces, and the more recent ETSI work on requirements for NFV interfaces.</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 
<p>09 Jan 2025 CTK updates:  CTK tested against the supplied RI and both an html and json report are now created in a unix environment.</p>
<p>25 Jul 2024 Open API Specification (OAS) v5.0.1 release fixes  v5.0.0 OAS & Governance validation errors</p>
<p>18 Dec 2023 stable release v5.0.0 OAS, user guide, conformance   profile, CTK, RI, postman released.</p>

<br>v4.0.0</br>
<p>07-Nov-2024 TMF639 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.
<p>09 Jul 2021 v4.0.0  stable release OAS, user guide, conformance profile, CTK, RI and postman. </p>


<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF642","Resource","RESTful","v5.0","2025-01-23","Production"
"Product Configuration Management API","<p>The Product Configuration API drives the configuration of new product offerings and modification of existing products for various user engagement channels. The Product Configuration API uses product catalog data, policy data, and existing product inventory data to assist engagement managent systems with product configuration. Product configuration may include setting and restrincting characteristic values, enforcing min/max on bundle offering groups and options, and calculation of prices and discounts.</p>

<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
<p>16 Aug 2024: CTK update:  fixed Bat Windows execution


<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF760","Customer","RESTful","v5.0","2024-08-16","Production"
"Intent Management API","<p>This API allows intents to be expressed, reporting on and negotiated between the intent owner and the intent handler. The Intent API provides specifies the basic attributes and relationships that describe an Intent. The expression attribute of Intent contains a statement of the expectations for an intent in a particular ontology language and is validated by the TM Forum Intent Ontology (TIO).</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
<p>02-Oct-2024 release: v5.0.0 CTK, RI, Postman released. Stable release.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF921","Common","RESTful","v5.0","2024-10-02","Production"
"Digital Identity Management API","Provides the ability to manage a digital identity. This digital identity allows identification of an individual, a resource, or a partyRole (a specific role - or set of roles - for a given individual). A digital identity is associated with credential / authentication method. These credential / authentication methods should be extensible to describe all types of authentication methods such as login/password, biometric, token, etc. A contact medium is also associated with digital identity (or directly at credential level) to manage credential recovery UCs.
<br><b>Version history</b>
<p>v5.0.0</p>
<p> 18 July 2025 preview release v5.0.0: Open API Specification (OAS), User Guide, Conformance Profile</p>
22-Nov-2024 TMF720 v5.0.0  updates to User Guide  released </p>
14-Nov-2024 TMF720 v5.0.0  OAS and User Guide  preview release </p>
<br>v4.0.0</br>
<p>07-Nov-2024 TMF645 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF720","Common","RESTful","v4.0","2022-01-24","Production"
"Open Gateway Product Usage API","<p>
The TMF937 Open Gateway Product Usage API v5.0.0 defines an asynchronous bulk export mechanism for exchanging aggregated ProductUsage records between Operators and Channel Partners. It standardizes usage collection, reporting, reconciliation, and settlement processes for Open Gateway APIs, supporting both rated and non-rated commercial models. The API aligns with the TMF635 v5.0 information model.
<br/>
</p>

<br><b>Version history</b>

<p><b>v5.0.00-rc1</b></p>

<p>
27-February-2026 v5.0.0 Preview release: Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection.
</p>

<br>

<p><b>This API is an Open Gateway Operate API, produced within the 
  <a href=""https://www.gsma.com/solutions-and-impact/gsma-open-gateway/joint-certification-program-gsma-tm-forum/"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    GSMA Open Gateway</a> initiative.</b></p>

<style>
.styled-link {
  color: blue;
  text-decoration: underline;
  cursor: pointer;
}
.styled-link:visited {
  color: purple;
}
.styled-link:hover {
  color: darkblue;
}
</style>","TMF937","Product","RESTful","v5.0","","Pre-production"
"User Role Permission Management API","<p>
A user role is defined as the entity that defines a set of privileges covering various functions and/or manageable assets. 
When a user is assigned a given role then it is actually allocated all the privileges defined for that role type and the corresponding permissions are created for that user.
</p>

<b>Versioning Note</b><br>

<p>
This API has progressed to <b>TMF672 v5.1 RC3</b>. Both <b>v5.0 (Preview)</b> and <b>v5.1(Preview)</b> will remain available to ensure traceability for members who may have explored the earlier v5.0 preview assets.
As with all preview APIs, these assets are provided for early evaluation and may evolve prior to a stable release.
</p>

<br><b>Version history</b>
<p>
03-Mar-2026 TMF672 v5.1.0 RC3 Preview release: Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection. Includes a fix addressing ambiguity caused by identical <code>oneOf</code> schemas in the <code>PartyRefOrPartyRoleRef</code> definition. A restriction has been added to the allowed value of <code>@type</code>, enabling broader tooling compatibility without altering the API signatures.
</p>
<p>
09 Feb 2026 TMF672 v5.1.0 release: Open API Specification (OAS), User Guide, Conformance Profile
</p>

<p>
20 Dec 2024 TMF672 v5.0.0 release: User guide v5.0.1 and Conformance profile v5.0.1 updates made.
</p>

<p>
14 Nov 2024 TMF672 v5.0.0 release: OAS and User guide fixes including example and two minor fixes in schema.
</p>

<br>v4.0.0</p>

<p>
07-Nov-2024 TMF672 v4.1.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. 
No impact to awarded Open API Conformance certifications.
</p>
","TMF672","Common","RESTful","v4.0","2021-07-02","Production"
